source;target;pre_link;post_link
69531;2682;1;0
12948;2682;1;0
7440;2682;1;0
54391;2682;1;0
12937;2682;1;0
12924;2682;1;0
12925;2682;1;0
54376;2682;1;0
8295;2682;1;0
12936;2682;1;0
12939;2682;1;0
12932;2682;1;0
54392;2682;1;0
2688;2682;1;0
60719;2682;1;0
12938;2684;1;0
54389;2684;1;0
2703;2684;1;0
54365;2684;1;1
12923;2684;1;0
12933;2684;0;1
62161;2684;1;0
2705;2684;1;0
69278;2684;1;0
69531;2684;1;0
54393;2684;1;1
12930;2684;1;0
63112;2684;1;0
22692;2684;0;1
2698;2684;1;0
2687;2684;0;1
12943;2684;1;0
69531;2686;1;1
69278;2686;0;1
22693;2686;1;1
2695;2686;0;1
12925;2686;1;1
2697;2686;1;0
22692;2686;1;1
12932;2686;1;1
2698;2686;1;1
80349;2686;0;1
12924;2686;1;1
116508;2686;0;1
58364;2686;0;1
2705;2686;1;1
73991;2686;1;1
60719;2686;0;1
12948;2686;0;1
70492;2686;1;1
54393;2686;0;1
108863;2686;1;0
2693;2686;1;0
60797;2687;0;1
22692;2687;0;1
12925;2687;1;0
57200;2687;1;0
2693;2687;1;0
82263;2687;0;1
2684;2687;0;1
78976;2687;1;0
69278;2687;1;1
12948;2687;1;0
54381;2687;1;0
85782;2688;1;1
2682;2688;1;0
92805;2688;1;1
22695;2688;0;1
22692;2690;1;0
7462;2690;0;1
12935;2690;0;1
62161;2690;1;0
12930;2690;1;0
54384;2690;0;1
22695;2691;1;1
22693;2691;0;1
2698;2691;1;0
78976;2693;1;0
57200;2693;1;0
12948;2693;1;0
69278;2693;1;0
2686;2693;1;0
22692;2693;1;0
2687;2693;1;0
54381;2693;1;0
7467;2694;1;0
8924;2694;1;0
54388;2694;1;0
82263;2694;1;0
12951;2694;1;0
80349;2695;0;1
2686;2695;0;1
2698;2695;0;1
12925;2695;0;1
2705;2695;0;1
69531;2695;0;1
12924;2695;0;1
85423;2695;1;0
12922;2695;1;0
12931;2695;0;1
22693;2695;0;1
12932;2695;0;1
12933;2697;0;1
22695;2697;1;0
80349;2697;0;1
2686;2697;1;0
2703;2697;0;1
58364;2698;1;1
2705;2698;1;1
69531;2698;1;1
22695;2698;0;1
2684;2698;1;0
12943;2698;1;0
54365;2698;1;0
12925;2698;0;1
2686;2698;1;1
80349;2698;0;1
22693;2698;1;1
54389;2698;1;0
12932;2698;0;1
2691;2698;1;0
8924;2698;0;1
12923;2698;1;0
12938;2698;1;0
82263;2698;1;0
62161;2698;1;0
2703;2698;1;0
2695;2698;0;1
12930;2698;1;0
63112;2698;1;0
12924;2698;0;1
12930;2703;1;1
73991;2703;0;1
2705;2703;1;0
40078;2703;1;0
12933;2703;1;1
69531;2703;1;0
2697;2703;0;1
22692;2703;0;1
